file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,104,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,16
style.css,105,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,10
style.css,106,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,73
style.css,107,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,17
style.css,108,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,12
style.css,109,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,20
style.css,110,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,111,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,112,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,13
style.css,113,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,9
style.css,114,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,115,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,116,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,24
style.css,117,css,3b61dca1,Jacquelyn Garcia,2025-04-26,22:34:28,-07:00,2025-04-26T22:34:28-07:00,0,74
style.css,118,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,42
style.css,119,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,25
style.css,120,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,121,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,0
style.css,122,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,14
style.css,123,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,15
style.css,124,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,12
style.css,125,css,0e8dfba2,Jacquelyn Garcia,2025-04-11,22:14:33,-07:00,2025-04-11T22:14:33-07:00,0,21
style.css,126,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,127,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,128,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,19
style.css,129,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,8
style.css,130,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,18
style.css,131,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,132,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,133,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,15
style.css,134,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,44
style.css,135,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,18
style.css,136,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,137,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,138,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,8
style.css,139,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,20
style.css,140,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,141,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,142,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,3
style.css,143,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,16
style.css,144,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,20
style.css,145,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,146,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
style.css,147,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,10
style.css,148,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,15
style.css,149,css,0fe66938,Jacquelyn Garcia,2025-04-11,22:22:26,-07:00,2025-04-11T22:22:26-07:00,0,0
